2.80361415e+00,3.17598639e+00
2.82307309e+00,3.26433221e+00
2.83288039e+00,3.35112810e+00
2.85031559e+00,3.42707451e+00
2.87210960e+00,3.51567865e+00
2.89390360e+00,3.58620031e+00
2.93204311e+00,3.66983177e+00
2.98107962e+00,3.77642798e+00
3.03011614e+00,3.85562923e+00
3.07915265e+00,3.93808533e+00
3.13363766e+00,4.00860699e+00
3.18812267e+00,4.06936412e+00
3.24805619e+00,4.14585300e+00
3.31343820e+00,4.20371692e+00
3.37882022e+00,4.25796436e+00
3.44420223e+00,4.30949942e+00
3.50958425e+00,4.35470561e+00
3.57496626e+00,4.39810356e+00
3.64034828e+00,4.43065202e+00
3.70573029e+00,4.46681697e+00
3.77111231e+00,4.49665306e+00
3.83540462e+00,4.52070276e+00
3.90187634e+00,4.54366750e+00
3.96725836e+00,4.56174998e+00
4.03264037e+00,4.57712009e+00
4.10347089e+00,4.59746287e+00
4.16340440e+00,4.60514793e+00
4.22878642e+00,4.60966855e+00
4.29416843e+00,4.61780566e+00
4.35955045e+00,4.60966855e+00
4.42493246e+00,4.60966855e+00
4.47941748e+00,4.60424380e+00
4.55569649e+00,4.57892833e+00
4.62107851e+00,4.56355823e+00
4.68646052e+00,4.54547575e+00
4.75184254e+00,4.52016028e+00
4.81613486e+00,4.49900378e+00
4.88260657e+00,4.47314584e+00
4.94798859e+00,4.44873450e+00
5.01337060e+00,4.41980253e+00
5.07875262e+00,4.38996644e+00
5.14413463e+00,4.35832211e+00
5.20951665e+00,4.32848602e+00
5.27489866e+00,4.29232106e+00
5.34028068e+00,4.25796436e+00
5.40566269e+00,4.21637466e+00
5.47104471e+00,4.17930558e+00
5.53642673e+00,4.13771588e+00
5.60180874e+00,4.09522206e+00
5.66719076e+00,4.04820762e+00
5.73257277e+00,4.00300142e+00
5.79795479e+00,3.95327461e+00
5.86333680e+00,3.90083542e+00
5.92871882e+00,3.84477974e+00
5.99410083e+00,3.79143643e+00
6.05948285e+00,3.72814776e+00
6.12486486e+00,3.66305084e+00
6.18479838e+00,3.60175124e+00
6.24473189e+00,3.54099412e+00
6.29921690e+00,3.47996576e+00
6.35370192e+00,3.41622502e+00
6.40818693e+00,3.35112810e+00
6.45722344e+00,3.28494624e+00
6.50625995e+00,3.21957808e+00
6.54984796e+00,3.15448116e+00
6.59343597e+00,3.09480898e+00
6.63157548e+00,3.04372599e+00
6.66971499e+00,2.97410845e+00
6.71330300e+00,2.89924699e+00
6.75144251e+00,2.83577749e+00
6.78958202e+00,2.76661202e+00
6.82499728e+00,2.69337798e+00
6.86041254e+00,2.61878776e+00
6.90944905e+00,2.53334805e+00
6.95848556e+00,2.45713041e+00
7.02931608e+00,2.37648256e+00
7.09469809e+00,2.32042688e+00
7.16008011e+00,2.26889182e+00
7.22546212e+00,2.21645263e+00
7.28539564e+00,2.16853407e+00
7.33988065e+00,2.10777694e+00
7.38891716e+00,2.03969642e+00
7.43250517e+00,1.97459950e+00
7.46247193e+00,1.90814639e+00
7.50769449e+00,1.83870968e+00
7.53239436e+00,1.77433606e+00
7.56871770e+00,1.69658140e+00
7.59596021e+00,1.65318346e+00
7.61502996e+00,1.58130561e+00
7.64499672e+00,1.50852364e+00
7.67587156e+00,1.41991950e+00
7.69403323e+00,1.34126072e+00
7.71037874e+00,1.28791741e+00
7.73217274e+00,1.21242307e+00
7.75396675e+00,1.13602460e+00
7.75941525e+00,1.06948108e+00
7.78011955e+00,9.82685187e-01
7.78665775e+00,9.31692601e-01
7.80300326e+00,8.39471965e-01
7.80845176e+00,7.67142054e-01
7.80627236e+00,6.86494204e-01
7.82479726e+00,6.22482233e-01
7.82479726e+00,5.57385314e-01
7.82479726e+00,4.92288395e-01
7.82479726e+00,4.27191475e-01
7.82479726e+00,3.62094556e-01
7.82479726e+00,2.96997637e-01
7.82479726e+00,2.31900717e-01
7.82479726e+00,1.66803798e-01
7.82479726e+00,1.01706878e-01
7.82479726e+00,3.66099589e-02
7.82479726e+00,-2.84869604e-02
7.81498996e+00,-1.22877494e-01
7.80845176e+00,-2.07503489e-01
7.80481943e+00,-2.79833399e-01
7.78120925e+00,-4.03698371e-01
7.75396675e+00,-4.95014883e-01
7.73839960e+00,-5.77160995e-01
7.69512293e+00,-6.82711000e-01
7.63954822e+00,-7.60827304e-01
7.57416620e+00,-8.01512878e-01
7.50551509e+00,-8.25924223e-01
7.44340217e+00,-8.31348966e-01
7.37802016e+00,-8.27732471e-01
7.31263814e+00,-8.40390205e-01
7.24725613e+00,-8.58472683e-01
7.18078441e+00,-8.92106091e-01
7.11649210e+00,-9.32610841e-01
7.04566158e+00,-1.01145044e+00
6.99117657e+00,-1.06895272e+00
6.94214006e+00,-1.12970985e+00
6.89310354e+00,-1.19155192e+00
6.84406703e+00,-1.25041038e+00
6.79503052e+00,-1.31089627e+00
6.74054551e+00,-1.37924804e+00
6.68061199e+00,-1.44886558e+00
6.60433298e+00,-1.54605889e+00
6.55529646e+00,-1.60383241e+00
6.50081145e+00,-1.67435407e+00
6.44632644e+00,-1.73619615e+00
6.39728993e+00,-1.79695327e+00
6.34825342e+00,-1.85554050e+00
6.29376840e+00,-1.92497721e+00
6.24473189e+00,-1.98410691e+00
6.17934988e+00,-2.06547806e+00
6.14121037e+00,-2.10941848e+00
6.08672535e+00,-2.17885520e+00
6.03224034e+00,-2.24612201e+00
5.97775533e+00,-2.31555873e+00
5.92327032e+00,-2.37631585e+00
5.87423380e+00,-2.43707298e+00
5.81974879e+00,-2.50126577e+00
5.75436678e+00,-2.58625342e+00
5.69988176e+00,-2.64999415e+00
5.65084525e+00,-2.71264994e+00
5.59636024e+00,-2.77883180e+00
5.53642673e+00,-2.85025759e+00
5.45469921e+00,-2.95459349e+00
5.40566269e+00,-3.03379474e+00
5.37024744e+00,-3.10974114e+00
5.35008798e+00,-3.17917786e+00
5.33333333e+00,-3.26744186e+00
5.33333333e+00,-3.34496124e+00
5.32393517e+00,-3.42437626e+00
5.32393517e+00,-3.49670617e+00
5.32393517e+00,-3.56180309e+00
5.32393517e+00,-3.62690000e+00
5.32393517e+00,-3.69199692e+00
5.32393517e+00,-3.75709384e+00
5.32393517e+00,-3.82219076e+00
5.32393517e+00,-3.88728768e+00
5.32393517e+00,-3.94515161e+00
5.33333333e+00,-4.02325581e+00
5.33333333e+00,-4.10077519e+00
5.34572918e+00,-4.22452589e+00
5.34300493e+00,-4.30725322e+00
5.36752319e+00,-4.37551458e+00
5.36970259e+00,-4.48871089e+00
5.38386869e+00,-4.59340843e+00
5.39294952e+00,-4.68472494e+00
5.41111120e+00,-4.77332908e+00
5.42473245e+00,-4.83345332e+00
5.44162280e+00,-4.95740871e+00
5.46559621e+00,-5.04094975e+00
5.46559621e+00,-5.10604667e+00
5.46559621e+00,-5.17114359e+00
5.45905801e+00,-5.24383515e+00
5.41474353e+00,-5.30133743e+00
5.35117768e+00,-5.35287249e+00
5.28579567e+00,-5.37547559e+00
5.22041365e+00,-5.39265394e+00
5.15503164e+00,-5.41525704e+00
5.07330412e+00,-5.42393663e+00
5.01337060e+00,-5.41887354e+00
4.95188037e+00,-5.37728384e+00
4.92074608e+00,-5.29184413e+00
4.93164308e+00,-5.22539103e+00
4.91529758e+00,-5.18199308e+00
4.89677267e+00,-5.11472626e+00
4.87715807e+00,-4.99212706e+00
4.85536406e+00,-4.92341365e+00
4.83901856e+00,-4.86735797e+00
4.81450031e+00,-4.79412393e+00
4.78998205e+00,-4.73354763e+00
4.75184254e+00,-4.66121772e+00
4.70825453e+00,-4.59883318e+00
4.65376952e+00,-4.53735275e+00
4.58838750e+00,-4.48762594e+00
4.52409519e+00,-4.45507748e+00
4.45762347e+00,-4.43247438e+00
4.39224146e+00,-4.42162490e+00
4.32685944e+00,-4.42885789e+00
4.26147742e+00,-4.44422799e+00
4.19609541e+00,-4.47587233e+00
4.13071339e+00,-4.51565378e+00
4.07622838e+00,-4.57170946e+00
4.03264037e+00,-4.63680638e+00
3.99450086e+00,-4.70099917e+00
3.97270686e+00,-4.78598682e+00
3.94312928e+00,-4.92083044e+00
3.93187348e+00,-4.99224806e+00
3.91822184e+00,-5.08163533e+00
3.90296604e+00,-5.16897370e+00
3.89097934e+00,-5.27421371e+00
3.89097934e+00,-5.32846115e+00
3.86685026e+00,-5.41525704e+00
3.86373683e+00,-5.50205293e+00
3.84412223e+00,-5.65720059e+00
3.84194283e+00,-5.72808390e+00
3.82196499e+00,-5.84471588e+00
3.78200931e+00,-5.92247054e+00
3.71662730e+00,-5.95863549e+00
3.65451438e+00,-5.95990127e+00
3.58586327e+00,-5.93332002e+00
3.52048125e+00,-5.90890868e+00
3.45509924e+00,-5.87907259e+00
3.38971722e+00,-5.84562001e+00
3.32433520e+00,-5.80674268e+00
3.25622894e+00,-5.74616638e+00
3.23352685e+00,-5.64128801e+00
3.26004289e+00,-5.55673434e+00
3.28256336e+00,-5.48577870e+00
3.30254120e+00,-5.43153127e+00
